country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",19-01-2026 08:00,25.892357,86.590325,OZONE,9,11,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",19-01-2026 08:00,25.859655,85.77944,NO2,8,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",19-01-2026 08:00,24.952822,84.002396,PM2.5,16,79,40
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",19-01-2026 08:00,26.2271665,84.3570427,PM10,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",19-01-2026 08:00,22.12665,83.483212,PM2.5,30,77,55
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",19-01-2026 08:00,22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",19-01-2026 08:00,22.1910172,83.5197009,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",19-01-2026 08:00,21.258815,81.578979,NO2,47,55,51
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",19-01-2026 08:00,21.219665,81.630094,NH3,2,2,2
India,Delhi,Delhi,"ITO, Delhi - CPCB",19-01-2026 08:00,28.628624,77.24106,NO2,1,82,37
India,Delhi,Delhi,"ITO, Delhi - CPCB",19-01-2026 08:00,28.628624,77.24106,NH3,2,7,5
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",19-01-2026 08:00,28.73282,77.170633,PM10,NA,NA,NA
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",19-01-2026 08:00,28.58028,77.233829,NO2,30,155,77
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-01-2026 08:00,28.611281,77.237738,NH3,25,30,28
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",19-01-2026 08:00,28.6514781,77.1473105,OZONE,18,44,34
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-01-2026 08:00,28.710508,77.249485,PM2.5,374,500,467
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",19-01-2026 08:00,28.710508,77.249485,CO,5,183,141
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-01-2026 08:00,28.531346,77.190156,PM2.5,304,417,373
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-01-2026 08:00,28.531346,77.190156,NO2,6,76,33
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",19-01-2026 08:00,28.531346,77.190156,NH3,6,11,8
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",19-01-2026 08:00,28.672342,77.31526,NO2,51,258,90
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",19-01-2026 08:00,28.672342,77.31526,SO2,6,29,15
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-01-2026 08:00,28.699793,77.165453,PM10,339,500,462
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",19-01-2026 08:00,28.699793,77.165453,NH3,10,22,15
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",19-01-2026 08:00,28.6701,76.9254,PM2.5,54,308,187
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",19-01-2026 08:00,28.3419248,77.319699,SO2,2,6,4
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",19-01-2026 08:00,28.806223,76.141105,PM10,51,371,121
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",19-01-2026 08:00,28.806223,76.141105,NH3,1,8,8
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",19-01-2026 08:00,28.593883,76.270653,PM10,53,163,116
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",19-01-2026 08:00,28.593883,76.270653,NH3,5,8,6
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",19-01-2026 08:00,28.2068,76.7997,PM10,174,411,310
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",19-01-2026 08:00,28.2068,76.7997,NH3,10,30,21
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-01-2026 08:00,28.611281,77.237738,OZONE,2,145,3
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-01-2026 08:00,28.684678,77.076574,PM2.5,350,500,467
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-01-2026 08:00,28.684678,77.076574,NO2,61,139,97
India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-01-2026 08:00,28.684678,77.076574,SO2,11,41,24
